Title,Author,Year,Link,Snippet
"Geoelectrical Investigation of the Groundwater Potential at Laniba, Akinyele Local Government area of Ibadan, Oyo State.","['BI Aboje', 'EO Joshua', 'OO Adewoyin']",2017,https://www.academia.edu/download/76351919/511.pdf,
"GIS-Based GODT Model Approach for Assessment of Aquifer Vulnerability in Part of Ibadan, Southwestern Nigeria","['OO Bayewu', 'NOO Adebisi', 'OO Olukayode']",2024,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003454908-27/gis-based-godt-model-approach-assessment-aquifer-vulnerability-part-ibadan-southwestern-nigeria-olateju-bayewu-niyi-ola-adebisi-oluwakemi-olukayode-ganiyu-mosuro-moroof-oloruntola-oluwadamilare-odugbesan-kubura-oluwakemi-bakare-omolara-abosede-adenuga-olalekan-olayiwola-oyebolu,
"ASSESSMENT OF GROUNDWATER POTENTIAL USING GEOELECTRICAL METHODS IN BALOGUN AREA, IBADAN","['TO Adebayo', 'MJ Bennett']",2025,https://aydenjournals.com/index.php/CJSAM/article/view/1089,
"Investigation of Groundwater Potential Using Electrical Resistivity Method, in Iddo Community Grammar School, Iddo-Okpella, Edo State","['KA Salako', 'EE Udensi', 'AA Adetona']",2019,http://irepo.futminna.edu.ng:8080/jspui/handle/123456789/13973,
"Geoelectric assessment of groundwater prospect and vulnerability of overburden aquifers at Adumasun area, Oniye, Southwestern Nigeria",['A Adagunodo'],2012,https://www.academia.edu/download/92499056/Adagunodo_20T.A._20Physics_204.pdf,
"Investigation of Groundwater Potential Using Electrical Resistivity Method, in Iddo Community Grammar School, Iddo-Okpella, Edo State.","['UW Edeh', 'EE Udensi', 'KA Salako']",2019,https://go.gale.com/ps/i.do?id=GALE%7CA644651965&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=24889229&p=AONE&sw=w,
"Geoelectric investigation of the groundwater potential of Moniya Area, Ibadan","['EO Joshua', 'OO Odeyemi']",2011,https://www.academia.edu/download/73884831/article1379674770_Joshua_et_al.pdf,
"Application of Electrical Resistivity survey for groundwater investigation in a Basement rock region: a case study of Akobo-Ibadan, Nigeria","['LI Nwankwo', 'PI Olasehinde']",2013,https://search.proquest.com/openview/d7ca064c66964fa94e9c76dfd156f2a9/1?pq-origsite=gscholar&cbl=136188,
"Geoelectric evaluation of groundwater potential within sunshine garden estate, akure southwestern Nigeria",['T Ajayi'],2019,https://www.academia.edu/download/63688979/IJPR-2917220200620-62423-96zcq.pdf,
"Geoelectrical and geotechnical based-assessment of subsurface soil electrical earthening property and corrosive vulnerability along Coker Village Road, Osogbo …","['', 'IR Ejiwale', 'EO Babafemi', 'FO Akinyele']",2024,https://www.rejost.com.ng/index.php/home/article/view/122,
Simulation of Groundwater Potential Zone Using Geographic Information System (GIS) Through Related Factors,"['', 'DA Ogundare', 'AE Akindele', 'IO Akinyele']",2024,https://www.analecta.hu/index.php/analecta/article/view/45753,
"SUBSURFACE GEOELECTRICAL EVALUATION OF GROUNDWATER IN BALOGUN AREA, IBADAN, NIGERIA","['TA Ogunleye', 'IM Adebayo']",NA,,
"Geophysical Investigation of Groundwater Potential of a Site in Obale Area of Akure, Nigeria",['EF Olusola'],2021,https://www.academia.edu/download/71365917/88-93_Tesma601_IJEAST.pdf,
"Empirical analysis of electromagnetic profiles for groundwater prospecting in rural areas of Ibadan, southwestern Nigeria","['OA Ehinola', 'AO Opoola', 'HA Adesokan']",2006,https://link.springer.com/article/10.1007/s10040-005-0468-z,
"Integrated geophysical methods in the characterization of subsurface conditions of Lapite dumpsite in Ibadan, Southwestern Nigeria","['OO Akintola', 'GO Adeyemi', 'SO Ariyo']",2019,https://lafiascijournals.org.ng/index.php/fjst/article/view/206,
Characterization and Monitoring of Leachate Plume migration in Active Dumpsite within Basement Complex of Southwest Nigeria using Integrated Geophysical …,"['SA Ganiyu', 'JO Olutoki', 'OO Ajewole']",2025,https://njp.nipngr.org/index.php/njp/article/view/441,
Effect of Flooding on Groundwater Recharge Potential Using GIS Techniques,"['', 'DA Ogundare', 'AE Akindele', 'IO Akinyele']",NA,https://www.researchgate.net/profile/Ayokunle-Familusi/publication/384668311_Effect_of_Flooding_on_Groundwater_Recharge_Potential_Using_GIS_Techniques/links/67021557906bca2ac3e8bdc0/Effect-of-Flooding-on-Groundwater-Recharge-Potential-Using-GIS-Techniques.pdf,
FUNAAB INAUGURAL LECTURE,['V MAKINDE'],NA,https://funaab.edu.ng/wp-content/uploads/publications/Inaugural_Lecture_95.pdf,
"Surface Geoelctric Survey for Delineating Aquifer Horizon for Siting Standard Water Wells in Water Problem Area of Imo State, Southeastern Nigeria",['C Nwankwo'],NA,https://www.academia.edu/download/50042984/Nwosu_and_Nwankwo-2016.pdf,
"GIS and Hydrogeophysical Mappings of Aquifer Vulnerability around Petroleum Depot in a Basement Complex, Ibadan, Southwestern Nigeria","['I Babatunde', 'AA Olaojo', 'MA Oladunjoye']",2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4167897,
